stair.thisTrialN,stair.stepSize,stair.intensity,Fixation.started,Fixation.stopped,grating.started,key_resp.started,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
50,0.5,1.5,131.2861467999901,131.7746213999926,131.7746213999926,131.7746213999926,132.0742190000019,left,-1.5,1,1,0.9280555000004824,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
51,0.5,1.0,132.73609520000173,133.24183839999023,133.24183839999023,133.24183839999023,133.54085479999776,right,1.0,1,1,0.6309605999995256,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
52,0.5,1.0,133.90325249999296,134.40277329999662,134.40277329999662,134.40277329999662,134.70729859999847,left,-1.0,1,1,0.6624455000128364,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
53,0.5,1.0,135.10144050000235,135.58985699999903,135.58985699999903,135.58985699999903,135.89029080000182,left,-1.0,1,1,0.6449970000103349,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
54,0.5,1.0,136.26898680000158,136.75655910000205,136.75655910000205,136.75655910000205,137.05674479999288,left,-1.0,0,0,0.8235095999989426,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
55,0.5,1.5,137.61814469999808,138.10569219999888,138.10569219999888,138.10569219999888,138.40742819999286,left,-1.5,1,1,0.6777274999913061,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
56,0.5,1.5,138.8171932999976,139.30599660000007,139.30599660000007,139.30599660000007,139.6047852999909,left,-1.5,1,1,0.825067300000228,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
57,0.5,1.5,140.16655229999742,140.6554526999971,140.6554526999971,140.6554526999971,140.95520909999323,left,-1.5,0,0,2.8250240000052145,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
58,0.5,2.0,143.5155548999901,144.00399070000276,144.00399070000276,144.00399070000276,144.30335919999925,right,2.0,1,1,0.6676283999986481,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
59,0.5,2.0,144.71588839999458,145.218824399999,145.218824399999,145.218824399999,145.51924189999409,left,-2.0,1,1,0.5415976999938721,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
60,0.5,2.0,145.79715620000206,146.2856449999963,146.2856449999963,146.2856449999963,146.5852245999995,right,2.0,1,1,0.5818158000038238,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
61,0.5,1.5,146.89703510000254,147.3858382000035,147.3858382000035,147.3858382000035,147.6860386999906,left,-1.5,1,1,1.0939409999991767,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
62,0.5,1.5,148.51367179999943,149.00134279999475,149.00134279999475,149.00134279999475,149.30098089999228,left,-1.5,1,1,0.5795341000048211,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
63,0.5,1.5,149.61296899999434,150.1004993999959,150.1004993999959,150.1004993999959,150.40084180000122,right,1.5,1,1,0.500724600002286,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
64,0.5,1.0,150.63016000000061,151.11721789999865,151.11721789999865,151.11721789999865,151.41797119998955,right,1.0,1,1,0.7047537000034936,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
65,0.5,1.0,151.8630303999962,152.3503628999897,152.3503628999897,152.3503628999897,152.65035679998982,left,-1.0,1,1,0.5935362000018358,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
66,0.5,1.0,152.97866959999374,153.46735310000076,153.46735310000076,153.46735310000076,153.76717510000162,right,1.0,1,1,0.7408364000002621,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
67,0.5,1.0,154.24522329999309,154.73351350000303,154.73351350000303,154.73351350000303,155.03340449999087,right,1.0,1,1,0.6652279999980237,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
68,0.5,1.0,155.42808669999067,155.91610149999906,155.91610149999906,155.91610149999906,156.2161913000018,right,1.0,1,1,0.9501789999922039,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
69,0.5,1.0,156.8943769000034,157.38299800000095,157.38299800000095,157.38299800000095,157.69882669999788,left,-1.0,0,0,0.8724265999917407,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
70,0.5,1.5,158.29389790000278,158.78233809999074,158.78233809999074,158.78233809999074,159.08133869999438,left,-1.5,0,0,0.9902199000061955,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
71,0.5,2.0,159.8102030000009,160.29868279999937,160.29868279999937,160.29868279999937,160.59838189999573,left,-2.0,0,0,0.8400810000021011,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
72,0.5,2.5,161.17704789999698,161.66446049998922,161.66446049998922,161.66446049998922,161.96448519999103,left,-2.5,0,0,0.4916430000012042,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
73,0.5,3.0,162.19313529999636,162.68059659999562,162.68059659999562,162.68059659999562,162.9955243000004,left,-3.0,1,1,0.9080907000025036,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
